Name,small,large,circular,mini_hoop,total_rack,", NY, NY","Small, circular"
1 7 AV S,5,0,0,0,5,"1 7 AV S, NY, NY",
1 BOERUM PL,1,0,0,0,1,"1 BOERUM PL, NY, NY",
1 CENTRE ST,10,0,0,0,10,"1 CENTRE ST, NY, NY",
1 E 13 ST,1,0,0,0,1,"1 E 13 ST, NY, NY",
1 E 183 ST,0,0,2,0,2,"1 E 183 ST, NY, NY",
1 E 28 ST,1,0,0,0,1,"1 E 28 ST, NY, NY",
1 E 55 ST,0,0,1,0,1,"1 E 55 ST, NY, NY",
1 E 60 ST,1,0,0,0,1,"1 E 60 ST, NY, NY",
1 E 8 ST,2,0,0,0,2,"1 E 8 ST, NY, NY",
1 FLATBUSH AV,1,0,0,0,1,"1 FLATBUSH AV, NY, NY",
1 GRAHAM AV,1,0,0,0,1,"1 GRAHAM AV, NY, NY",
1 GREAT JONES ST,1,0,0,0,1,"1 GREAT JONES ST, NY, NY",
1 HILLEL PL,0,0,1,0,1,"1 HILLEL PL, NY, NY",
1 HOGAN PL,0,2,0,0,2,"1 HOGAN PL, NY, NY",
1 HOYT ST,0,0,3,0,3,"1 HOYT ST, NY, NY",
1 HUDSON ST,1,0,0,0,1,"1 HUDSON ST, NY, NY",
1 IRVING PL,0,1,0,0,1,"1 IRVING PL, NY, NY",
1 MAIN ST,1,2,0,0,3,"1 MAIN ST, NY, NY",
1 PARK AV,4,0,1,0,5,"1 PARK AV, NY, NY",
1 PROSPECT PK SW,0,0,4,0,4,"1 PROSPECT PK SW, NY, NY",
1 PROSPECT PK W,1,0,0,0,1,"1 PROSPECT PK W, NY, NY",
1 REMSEN AV,0,1,0,0,1,"1 REMSEN AV, NY, NY",
1 REMSEN ST,0,1,0,0,1,"1 REMSEN ST, NY, NY",
1 UNION SQ W,2,0,0,0,2,"1 UNION SQ W, NY, NY",
1 W 117 ST,0,3,0,0,3,"1 W 117 ST, NY, NY",
1 W 13 ST,1,0,0,0,1,"1 W 13 ST, NY, NY",
1 W 182 ST,0,0,1,0,1,"1 W 182 ST, NY, NY",
1 W 3 ST,1,0,0,0,1,"1 W 3 ST, NY, NY",
1 W 4 ST,1,0,0,0,1,"1 W 4 ST, NY, NY",
1 W 47 ST,2,0,0,0,2,"1 W 47 ST, NY, NY",
1 W 53 ST,1,0,0,0,1,"1 W 53 ST, NY, NY",
1 W 91 ST,0,1,0,0,1,"1 W 91 ST, NY, NY",
1 WASHINGTON PL,1,2,0,0,3,"1 WASHINGTON PL, NY, NY",
1 WHITEHALL ST,0,0,1,0,1,"1 WHITEHALL ST, NY, NY",
10 AV D,0,1,0,0,1,"10 AV D, NY, NY",
10 BAY ST LANDING,1,0,0,0,1,"10 BAY ST LANDING, NY, NY",
10 BEDFORD AV,1,0,0,0,1,"10 BEDFORD AV, NY, NY",
10 BOWERY,1,0,0,0,1,"10 BOWERY, NY, NY",
10 CHATHAM SQ,1,0,0,0,1,"10 CHATHAM SQ, NY, NY",
10 CORNELIA ST,0,0,2,0,2,"10 CORNELIA ST, NY, NY",
10 E 21 ST,2,0,0,0,2,"10 E 21 ST, NY, NY",
10 E 22 ST,5,0,0,0,5,"10 E 22 ST, NY, NY",
10 E 30 ST,1,0,0,0,1,"10 E 30 ST, NY, NY",
10 E 33 ST,1,0,0,0,1,"10 E 33 ST, NY, NY",
10 E 45 ST,1,0,0,0,1,"10 E 45 ST, NY, NY",
10 HOGAN PL,0,2,0,0,2,"10 HOGAN PL, NY, NY",
10 IRVING PL,0,1,2,0,3,"10 IRVING PL, NY, NY",
10 LENOX RD,0,0,1,0,1,"10 LENOX RD, NY, NY",
10 LINCOLN CENTER PLZ,0,0,1,0,1,"10 LINCOLN CENTER PLZ, NY, NY",
10 MONROE ST,1,0,0,0,1,"10 MONROE ST, NY, NY",
10 N 5 ST,0,0,2,0,2,"10 N 5 ST, NY, NY",
10 PLAZA ST E,1,1,1,0,3,"10 PLAZA ST E, NY, NY",
10 PORTER AV,0,0,1,0,1,"10 PORTER AV, NY, NY",
10 RUTGERS ST,1,0,1,0,2,"10 RUTGERS ST, NY, NY",
10 STANTON ST,1,0,0,0,1,"10 STANTON ST, NY, NY",
10 SUTTER AV,0,0,1,0,1,"10 SUTTER AV, NY, NY",
10 UNION SQ E,0,3,0,0,3,"10 UNION SQ E, NY, NY",
10 W 15 ST,0,0,2,0,2,"10 W 15 ST, NY, NY",
10 W 23 ST,0,0,1,0,1,"10 W 23 ST, NY, NY",
10 W 24 ST,1,0,0,0,1,"10 W 24 ST, NY, NY",
10 W BURNSIDE AV,0,0,1,0,1,"10 W BURNSIDE AV, NY, NY",
10 WASHINGTON PL,2,0,0,0,2,"10 WASHINGTON PL, NY, NY",
100 4 AV,1,0,0,0,1,"100 4 AV, NY, NY",
100 AMSTERDAM AV,0,4,0,0,4,"100 AMSTERDAM AV, NY, NY",
100 ATLANTIC AV,1,0,0,0,1,"100 ATLANTIC AV, NY, NY",
100 AV C,1,0,0,0,1,"100 AV C, NY, NY",
100 BANK ST,2,0,0,0,2,"100 BANK ST, NY, NY",
100 BAYARD ST,0,0,2,0,2,"100 BAYARD ST, NY, NY",
100 BUSHWICK AV,0,0,2,0,2,"100 BUSHWICK AV, NY, NY",
100 CHURCH ST,2,0,5,0,7,"100 CHURCH ST, NY, NY",
100 CLERMONT AV,3,0,0,0,3,"100 CLERMONT AV, NY, NY",
100 COOPER ST,0,0,1,0,1,"100 COOPER ST, NY, NY",
100 COVERT ST,0,0,1,0,1,"100 COVERT ST, NY, NY",
100 E 17 ST,2,0,0,0,2,"100 E 17 ST, NY, NY",
100 E 183 ST,0,0,2,0,2,"100 E 183 ST, NY, NY",
100 E 54 ST,0,0,1,0,1,"100 E 54 ST, NY, NY",
100 EAST END ST,4,0,0,0,4,"100 EAST END ST, NY, NY",
100 GOLD ST,6,0,0,0,6,"100 GOLD ST, NY, NY",
100 HENRY ST,1,1,0,0,2,"100 HENRY ST, NY, NY",
100 HUDSON ST,1,0,0,0,1,"100 HUDSON ST, NY, NY",
100 IRVING AV,0,0,2,0,2,"100 IRVING AV, NY, NY",
100 JAY ST,0,2,0,0,2,"100 JAY ST, NY, NY",
100 JOHNSON ST,0,0,1,0,1,"100 JOHNSON ST, NY, NY",
100 LAFAYETTE ST,1,0,0,0,1,"100 LAFAYETTE ST, NY, NY",
100 LEFFERTS PL,2,0,0,0,2,"100 LEFFERTS PL, NY, NY",
100 N 3 ST,2,0,1,0,3,"100 N 3 ST, NY, NY",
100 NOLL ST,0,0,2,0,2,"100 NOLL ST, NY, NY",
100 PARK AV,1,0,1,0,2,"100 PARK AV, NY, NY",
100 READE ST,1,1,0,0,2,"100 READE ST, NY, NY",
100 SMITH ST,1,0,0,0,1,"100 SMITH ST, NY, NY",
100 SULLIVAN ST,5,2,0,0,7,"100 SULLIVAN ST, NY, NY",
100 UNIVERSITY PL,1,0,0,0,1,"100 UNIVERSITY PL, NY, NY",
100 VARICK ST,2,0,0,0,2,"100 VARICK ST, NY, NY",
100 W 12 ST,2,0,0,0,2,"100 W 12 ST, NY, NY",
100 W 14 ST,0,1,0,0,1,"100 W 14 ST, NY, NY",
100 W 15 ST,2,0,0,0,2,"100 W 15 ST, NY, NY",
100 W 23 ST,5,2,0,0,7,"100 W 23 ST, NY, NY",
100 W 26 ST,2,0,0,0,2,"100 W 26 ST, NY, NY",
100 W 57 ST,4,0,0,0,4,"100 W 57 ST, NY, NY",
100 W 84 ST,34,0,0,0,34,"100 W 84 ST, NY, NY",
100 W 89 ST,0,0,2,0,2,"100 W 89 ST, NY, NY",
100 W 93 ST,2,0,0,0,2,"100 W 93 ST, NY, NY",
100 WASHINGTON PL,1,0,0,0,1,"100 WASHINGTON PL, NY, NY",
100 WOODPOINT RD,0,0,1,0,1,"100 WOODPOINT RD, NY, NY",
1000 2 AV,3,0,0,0,3,"1000 2 AV, NY, NY",
1000 3 AV,0,0,1,0,1,"1000 3 AV, NY, NY",
1000 MADISON AV,0,0,0,1,1,"1000 MADISON AV, NY, NY",
1000 WASHINGTON AV,1,0,0,0,1,"1000 WASHINGTON AV, NY, NY",
1001 1 AV,1,0,0,0,1,"1001 1 AV, NY, NY",
1001 AV OF THE AMERICAS,1,0,0,0,1,"1001 AV OF THE AMERICAS, NY, NY",
1001 FULTON ST,2,0,0,0,2,"1001 FULTON ST, NY, NY",
10011 NORTHERN BL,1,0,1,0,2,"10011 NORTHERN BL, NY, NY",
10018 QUEENS BL,0,0,2,0,2,"10018 QUEENS BL, NY, NY",
1002 CORTELYOU RD,0,0,2,0,2,"1002 CORTELYOU RD, NY, NY",
1002 FLUSHING AV,0,0,1,0,1,"1002 FLUSHING AV, NY, NY",
1002 MADISON AV,0,0,0,1,1,"1002 MADISON AV, NY, NY",
1002 ROOSEVELT AV,1,0,0,0,1,"1002 ROOSEVELT AV, NY, NY",
10028 QUEENS BL,0,0,2,0,2,"10028 QUEENS BL, NY, NY",
1003 COLUMBUS AV,1,0,0,0,1,"1003 COLUMBUS AV, NY, NY",
1003 MADISON AV,0,0,0,1,1,"1003 MADISON AV, NY, NY",
1004 BEVERLY RD,0,0,1,0,1,"1004 BEVERLY RD, NY, NY",
1004 FULTON ST,1,0,0,0,1,"1004 FULTON ST, NY, NY",
1005 COLUMBUS AV,0,0,0,1,1,"1005 COLUMBUS AV, NY, NY",
1007 BEDFORD AV,0,0,1,0,1,"1007 BEDFORD AV, NY, NY",
1009 2 AV,2,0,0,0,2,"1009 2 AV, NY, NY",
1009 3 AV,1,0,0,0,1,"1009 3 AV, NY, NY",
1009 COLUMBUS AV,0,1,0,0,1,"1009 COLUMBUS AV, NY, NY",
101 2 AV,1,0,0,0,1,"101 2 AV, NY, NY",
101 4 AV,1,0,0,0,1,"101 4 AV, NY, NY",
101 5 AV,2,0,0,0,2,"101 5 AV, NY, NY",
101 6 AV,0,1,0,0,1,"101 6 AV, NY, NY",
101 7 AV,2,0,0,2,4,"101 7 AV, NY, NY",
101 ATLANTIC AV,1,0,0,0,1,"101 ATLANTIC AV, NY, NY",
101 AV B,1,0,0,0,1,"101 AV B, NY, NY",
101 BARCLAY ST,2,1,0,0,3,"101 BARCLAY ST, NY, NY",
101 BAY ST,0,4,0,0,4,"101 BAY ST, NY, NY",
101 CHURCH AV,1,0,0,0,1,"101 CHURCH AV, NY, NY",
101 CLARK ST,1,0,0,0,1,"101 CLARK ST, NY, NY",
101 DELANCEY ST,1,0,0,0,1,"101 DELANCEY ST, NY, NY",
101 E 15 ST,3,1,0,0,4,"101 E 15 ST, NY, NY",
101 KINGSTON AV,1,0,0,0,1,"101 KINGSTON AV, NY, NY",
101 N 3 ST,0,0,2,0,2,"101 N 3 ST, NY, NY",
101 PERRY ST,1,0,0,0,1,"101 PERRY ST, NY, NY",
101 THOMPSON ST,2,0,0,0,2,"101 THOMPSON ST, NY, NY",
101 W 12 ST,1,0,0,0,1,"101 W 12 ST, NY, NY",
101 W 15 ST,1,0,0,0,1,"101 W 15 ST, NY, NY",
101 W 18 ST,1,0,0,0,1,"101 W 18 ST, NY, NY",
101 W 23 ST,1,0,0,0,1,"101 W 23 ST, NY, NY",
101 W 27 ST,1,0,0,0,1,"101 W 27 ST, NY, NY",
101 W 30 ST,1,0,0,0,1,"101 W 30 ST, NY, NY",
101 W 57 ST,1,0,0,0,1,"101 W 57 ST, NY, NY",
101 W 84 ST,2,0,0,0,2,"101 W 84 ST, NY, NY",
101 WOOSTER ST,1,0,0,0,1,"101 WOOSTER ST, NY, NY",
1010 3 AV,0,0,1,0,1,"1010 3 AV, NY, NY",
1010 AV O,0,0,1,0,1,"1010 AV O, NY, NY",
1010 BEVERLY RD,0,0,1,0,1,"1010 BEVERLY RD, NY, NY",
1010 FULTON ST,1,0,0,0,1,"1010 FULTON ST, NY, NY",
1010 LEXINGTON AV,1,0,0,0,1,"1010 LEXINGTON AV, NY, NY",
10102 QUEENS BL,0,0,2,0,2,"10102 QUEENS BL, NY, NY",
1011 1 AV,3,0,0,0,3,"1011 1 AV, NY, NY",
1011 6 AV,1,0,0,0,1,"1011 6 AV, NY, NY",
1011 AV OF THE AMERICAS,0,1,0,0,1,"1011 AV OF THE AMERICAS, NY, NY",
1011 BROADWAY,0,0,1,0,1,"1011 BROADWAY, NY, NY",
1011 E 163 ST,0,0,1,0,1,"1011 E 163 ST, NY, NY",
10110 QUEENS BL,0,0,1,0,1,"10110 QUEENS BL, NY, NY",
10115 QUEENS BL,1,0,0,0,1,"10115 QUEENS BL, NY, NY",
10116 QUEENS BL,0,0,1,0,1,"10116 QUEENS BL, NY, NY",
10118 QUEENS BL,0,0,1,0,1,"10118 QUEENS BL, NY, NY",
10119 QUEENS BL,1,0,2,0,3,"10119 QUEENS BL, NY, NY",
10119 ROCKAWAY BEACH BLVD,6,0,0,0,6,"10119 ROCKAWAY BEACH BLVD, NY, NY",
1012 WESTCHESTER AV,1,0,0,0,1,"1012 WESTCHESTER AV, NY, NY",
1013 AV J,0,0,1,0,1,"1013 AV J, NY, NY",
1013 AV K,0,0,1,0,1,"1013 AV K, NY, NY",
1013 BROADWAY,0,0,1,0,1,"1013 BROADWAY, NY, NY",
1014 47 RD,0,2,0,0,2,"1014 47 RD, NY, NY",
1014 FULTON ST,1,0,0,0,1,"1014 FULTON ST, NY, NY",
1014 MADISON AV,0,0,0,1,1,"1014 MADISON AV, NY, NY",
1014 PARK PL,11,0,0,0,11,"1014 PARK PL, NY, NY",
1015 AV O,0,0,2,0,2,"1015 AV O, NY, NY",
1015 BELMONT AV,0,0,2,0,2,"1015 BELMONT AV, NY, NY",
1015 CASTLETON AV,1,0,0,0,1,"1015 CASTLETON AV, NY, NY",
1015 CORTELYOU RD,0,0,1,0,1,"1015 CORTELYOU RD, NY, NY",
1015 FULTON ST,2,0,0,0,2,"1015 FULTON ST, NY, NY",
1017 AV OF THE AMERICAS,1,0,0,0,1,"1017 AV OF THE AMERICAS, NY, NY",
1017 JACKSON AV,2,0,0,0,2,"1017 JACKSON AV, NY, NY",
1018 8 AV,0,0,1,0,1,"1018 8 AV, NY, NY",
1018 AV M,0,0,1,0,1,"1018 AV M, NY, NY",
1018 BELMONT AV,0,0,2,0,2,"1018 BELMONT AV, NY, NY",
1018 WESTCHESTER AV,1,0,0,0,1,"1018 WESTCHESTER AV, NY, NY",
102 5 AV,1,0,0,0,1,"102 5 AV, NY, NY",
102 ALLEN ST,1,0,0,0,1,"102 ALLEN ST, NY, NY",
102 E 103 ST,0,0,1,0,1,"102 E 103 ST, NY, NY",
102 E 125 ST,0,0,1,0,1,"102 E 125 ST, NY, NY",
102 FLATLANDS AV,0,0,1,0,1,"102 FLATLANDS AV, NY, NY",
102 JAY ST,2,0,0,0,2,"102 JAY ST, NY, NY",
102 KINGSTON AV,0,0,1,0,1,"102 KINGSTON AV, NY, NY",
102 MADISON AV,0,0,1,0,1,"102 MADISON AV, NY, NY",
102 MONTAGUE ST,2,0,0,0,2,"102 MONTAGUE ST, NY, NY",
102 NASSAU AV,0,0,1,0,1,"102 NASSAU AV, NY, NY",
102 S 6 ST,0,0,2,0,2,"102 S 6 ST, NY, NY",
102 SARATOGA AV,0,0,1,0,1,"102 SARATOGA AV, NY, NY",
102 SMITH ST,2,0,0,0,2,"102 SMITH ST, NY, NY",
102 W 14 ST,0,1,0,0,1,"102 W 14 ST, NY, NY",
1020 AMSTERDAM AV,0,0,0,1,1,"1020 AMSTERDAM AV, NY, NY",
1020 BERGEN ST,1,0,0,0,1,"1020 BERGEN ST, NY, NY",
1020 CORTELYOU RD,1,0,0,0,1,"1020 CORTELYOU RD, NY, NY",
10202 METROPOLITAN AV,2,0,0,0,2,"10202 METROPOLITAN AV, NY, NY",
10202 ROOSEVELT AV,1,0,0,0,1,"10202 ROOSEVELT AV, NY, NY",
10203 41 AV,1,0,0,0,1,"10203 41 AV, NY, NY",
10204 ROOSEVELT AV,3,0,0,0,3,"10204 ROOSEVELT AV, NY, NY",
10209 NORTHERN BL,0,1,0,0,1,"10209 NORTHERN BL, NY, NY",
1021 8 AV,0,0,1,0,1,"1021 8 AV, NY, NY",
10214 ROOSEVELT AV,1,0,0,0,1,"10214 ROOSEVELT AV, NY, NY",
10215 QUEENS BL,1,0,0,0,1,"10215 QUEENS BL, NY, NY",
10216 ROOSEVELT AV,1,0,0,0,1,"10216 ROOSEVELT AV, NY, NY",
10218 ROOSEVELT AV,2,0,0,0,2,"10218 ROOSEVELT AV, NY, NY",
1022 43 ST,0,0,1,0,1,"1022 43 ST, NY, NY",
1022 CASTLE HILL AV,1,0,0,0,1,"1022 CASTLE HILL AV, NY, NY",
1022 MADISON AV,0,0,0,1,1,"1022 MADISON AV, NY, NY",
10221 QUEENS BL,1,0,0,0,1,"10221 QUEENS BL, NY, NY",
10223 ROOSEVELT AV,1,0,0,0,1,"10223 ROOSEVELT AV, NY, NY",
1023 1 AV,1,0,0,0,1,"1023 1 AV, NY, NY",
1023 AV J,0,0,2,0,2,"1023 AV J, NY, NY",
1023 SOUTHERN BLVD,2,0,0,0,2,"1023 SOUTHERN BLVD, NY, NY",
1024 2 AV,1,0,0,0,1,"1024 2 AV, NY, NY",
1024 AMSTERDAM AV,1,0,0,0,1,"1024 AMSTERDAM AV, NY, NY",
1024 WESTCHESTER AV,1,0,0,0,1,"1024 WESTCHESTER AV, NY, NY",
1025 LONGWOOD AV,1,0,0,0,1,"1025 LONGWOOD AV, NY, NY",
1025 MADISON AV,0,0,0,2,2,"1025 MADISON AV, NY, NY",
1025 MANHATTAN AV,1,0,0,0,1,"1025 MANHATTAN AV, NY, NY",
1025 WESTCHESTER AV,1,0,0,0,1,"1025 WESTCHESTER AV, NY, NY",
1026 1 AV,1,0,0,0,1,"1026 1 AV, NY, NY",
1026 CASTLE HILL AV,1,0,0,0,1,"1026 CASTLE HILL AV, NY, NY",
1027 JACKSON AV,1,0,0,0,1,"1027 JACKSON AV, NY, NY",
1028 2 AV,0,0,1,0,1,"1028 2 AV, NY, NY",
1028 AMSTERDAM AV,0,1,0,0,1,"1028 AMSTERDAM AV, NY, NY",
1028 SOUTHERN BL,1,0,0,0,1,"1028 SOUTHERN BL, NY, NY",
103 3 ST,0,0,1,0,1,"103 3 ST, NY, NY",
103 4 AV,1,0,0,0,1,"103 4 AV, NY, NY",
103 AV A,1,0,0,0,1,"103 AV A, NY, NY",
103 BERRY ST,1,0,0,0,1,"103 BERRY ST, NY, NY",
103 COURT ST,0,0,1,0,1,"103 COURT ST, NY, NY",
103 E 125 ST,0,0,2,0,2,"103 E 125 ST, NY, NY",
103 E BURNSIDE AV,0,0,1,0,1,"103 E BURNSIDE AV, NY, NY",
103 FRANKLIN ST,1,0,0,0,1,"103 FRANKLIN ST, NY, NY",
103 GRAHAM AV,1,0,0,0,1,"103 GRAHAM AV, NY, NY",
103 GRAND ST,1,0,0,0,1,"103 GRAND ST, NY, NY",
103 GREENPOINT AV,0,1,0,0,1,"103 GREENPOINT AV, NY, NY",
103 HOYT ST,0,0,1,0,1,"103 HOYT ST, NY, NY",
103 METROPOLITAN AV,1,0,1,0,2,"103 METROPOLITAN AV, NY, NY",
103 PRINCE ST,0,1,0,0,1,"103 PRINCE ST, NY, NY",
103 SMITH ST,1,0,0,0,1,"103 SMITH ST, NY, NY",
103 W 107 ST,0,0,2,0,2,"103 W 107 ST, NY, NY",
103 W 88 ST,1,0,0,0,1,"103 W 88 ST, NY, NY",
103 WILSON AV,0,0,1,0,1,"103 WILSON AV, NY, NY",
1030 2 AV,1,0,0,0,1,"1030 2 AV, NY, NY",
1030 AMSTERDAM AV,1,0,0,0,1,"1030 AMSTERDAM AV, NY, NY",
1030 E 178 ST,1,0,0,0,1,"1030 E 178 ST, NY, NY",
1030 JACKSON AV,3,0,0,0,3,"1030 JACKSON AV, NY, NY",
1030 MANHATTAN AV,1,0,0,0,1,"1030 MANHATTAN AV, NY, NY",
10302 ROOSEVELT AV,5,0,0,0,5,"10302 ROOSEVELT AV, NY, NY",
10303 ROOSEVELT AV,0,1,0,0,1,"10303 ROOSEVELT AV, NY, NY",
10305 QUEENS BL,2,0,0,0,2,"10305 QUEENS BL, NY, NY",
10305 ROOSEVELT AV,0,1,0,0,1,"10305 ROOSEVELT AV, NY, NY",
10309 QUEENS BL,1,0,0,0,1,"10309 QUEENS BL, NY, NY",
1031 1 AV,2,0,0,0,2,"1031 1 AV, NY, NY",
1031 BERGEN ST,1,0,0,0,1,"1031 BERGEN ST, NY, NY",
1031 FLUSHING AV,0,0,1,0,1,"1031 FLUSHING AV, NY, NY",
10314 ROOSEVELT AV,2,0,0,0,2,"10314 ROOSEVELT AV, NY, NY",
10315 ROOSEVELT AV,2,0,0,0,2,"10315 ROOSEVELT AV, NY, NY",
10316 ROOSEVELT AV,1,0,0,0,1,"10316 ROOSEVELT AV, NY, NY",
10317 ROOSEVELT AV,1,0,0,0,1,"10317 ROOSEVELT AV, NY, NY",
10318 39 AV,2,0,0,0,2,"10318 39 AV, NY, NY",
1032 1 AV,1,0,0,0,1,"1032 1 AV, NY, NY",
1032 2 AV,3,0,0,0,3,"1032 2 AV, NY, NY",
1032 SOUTHERN BLVD,1,0,0,0,1,"1032 SOUTHERN BLVD, NY, NY",
10326 ROOSEVELT AV,1,0,0,0,1,"10326 ROOSEVELT AV, NY, NY",
1033 CASTLE HILL AV,1,0,0,0,1,"1033 CASTLE HILL AV, NY, NY",
1033 JACKSON AV,1,0,0,0,1,"1033 JACKSON AV, NY, NY",
1034 SOUTHERN BLVD,2,0,0,0,2,"1034 SOUTHERN BLVD, NY, NY",
10342 LEFFERTS BL,0,0,1,0,1,"10342 LEFFERTS BL, NY, NY",
10345 LEFFERTS BL,0,0,1,0,1,"10345 LEFFERTS BL, NY, NY",
10348 LEFFERTS BL,0,0,1,0,1,"10348 LEFFERTS BL, NY, NY",
1035 SOUTHERN BLVD,1,0,0,0,1,"1035 SOUTHERN BLVD, NY, NY",
1037 2 AV,1,0,0,0,1,"1037 2 AV, NY, NY",
1037 CASTLE HILL AV,1,0,0,0,1,"1037 CASTLE HILL AV, NY, NY",
1038 1 AV,2,0,0,0,2,"1038 1 AV, NY, NY",
1039 BELMONT AV,0,0,2,0,2,"1039 BELMONT AV, NY, NY",
1039 SOUTHERN BLVD,1,0,0,0,1,"1039 SOUTHERN BLVD, NY, NY",
10398 LEFFERTS BL,0,0,1,0,1,"10398 LEFFERTS BL, NY, NY",
104 4 AV,2,0,0,0,2,"104 4 AV, NY, NY",
104 CHARLTON ST,1,0,0,0,1,"104 CHARLTON ST, NY, NY",
104 COMMERCIAL ST,0,0,2,0,2,"104 COMMERCIAL ST, NY, NY",
104 CORTELYOU RD,0,0,1,0,1,"104 CORTELYOU RD, NY, NY",
104 DIVISION AV,1,0,0,0,1,"104 DIVISION AV, NY, NY",
104 E 14 ST,3,0,0,0,3,"104 E 14 ST, NY, NY",
104 E BURNSIDE AV,0,0,2,0,2,"104 E BURNSIDE AV, NY, NY",
104 FRONT ST,1,0,0,0,1,"104 FRONT ST, NY, NY",
104 JAY ST,2,0,2,0,4,"104 JAY ST, NY, NY",
104 LENOX AV,2,0,0,0,2,"104 LENOX AV, NY, NY",
104 NORMAN AV,0,0,1,0,1,"104 NORMAN AV, NY, NY",
104 PRESIDENT ST,1,0,0,0,1,"104 PRESIDENT ST, NY, NY",
104 SARATOGA AV,0,0,1,0,1,"104 SARATOGA AV, NY, NY",
104 THOMPSON ST,1,0,0,0,1,"104 THOMPSON ST, NY, NY",
104 UNION ST,1,0,0,0,1,"104 UNION ST, NY, NY",
104 W 14 ST,3,0,0,0,3,"104 W 14 ST, NY, NY",
104 W 40 ST,0,0,1,0,1,"104 W 40 ST, NY, NY",
104 W 88 ST,1,0,0,0,1,"104 W 88 ST, NY, NY",
104 WARREN ST,1,0,0,0,1,"104 WARREN ST, NY, NY",
1040 3 AV,1,0,0,0,1,"1040 3 AV, NY, NY",
1040 44 DR,1,0,0,0,1,"1040 44 DR, NY, NY",
1040 JACKSON AV,2,0,0,0,2,"1040 JACKSON AV, NY, NY",
1040 MADISON AV,0,0,0,2,2,"1040 MADISON AV, NY, NY",
10402 ROCKAWAY BEACH BLVD,8,0,0,0,8,"10402 ROCKAWAY BEACH BLVD, NY, NY",
10402 ROOSEVELT AV,2,0,0,0,2,"10402 ROOSEVELT AV, NY, NY",
1041 CASTLE HILL AV,1,0,0,0,1,"1041 CASTLE HILL AV, NY, NY",
1041 HEGEMAN AV,0,0,1,0,1,"1041 HEGEMAN AV, NY, NY",
1043 2 AV,0,0,3,0,3,"1043 2 AV, NY, NY",
1043 41 AV,0,1,0,0,1,"1043 41 AV, NY, NY",
1043 LIBERTY AV,0,0,2,0,2,"1043 LIBERTY AV, NY, NY",
1044 EASTERN PKWY,1,0,0,0,1,"1044 EASTERN PKWY, NY, NY",
1045 3 AV,1,0,0,0,1,"1045 3 AV, NY, NY",
1046 SOUTHERN BLVD,1,0,0,0,1,"1046 SOUTHERN BLVD, NY, NY",
1048 CASTLE HILL AV,1,0,0,0,1,"1048 CASTLE HILL AV, NY, NY",
1048 WESTCHESTER AV,1,0,0,0,1,"1048 WESTCHESTER AV, NY, NY",
1049 1 AV,2,0,0,0,2,"1049 1 AV, NY, NY",
1049 2 AV,1,0,0,0,1,"1049 2 AV, NY, NY",
1049 FULTON ST,2,0,0,0,2,"1049 FULTON ST, NY, NY",
1049 WESTCHESTER AV,1,0,0,0,1,"1049 WESTCHESTER AV, NY, NY",
105 1 AV,1,0,0,0,1,"105 1 AV, NY, NY",
105 3 ST,0,0,1,0,1,"105 3 ST, NY, NY",
105 5 AV,8,2,0,0,10,"105 5 AV, NY, NY",
105 7 AV,0,0,0,2,2,"105 7 AV, NY, NY",
105 AV J,0,0,1,0,1,"105 AV J, NY, NY",
105 BROADWAY,0,0,1,0,1,"105 BROADWAY, NY, NY",
105 CENTRAL AV,0,0,3,0,3,"105 CENTRAL AV, NY, NY",
105 CLERMONT AV,1,0,0,0,1,"105 CLERMONT AV, NY, NY",
105 COURT ST,0,0,1,0,1,"105 COURT ST, NY, NY",
105 E 183 ST,0,0,2,0,2,"105 E 183 ST, NY, NY",
105 E BURNSIDE AV,0,0,1,0,1,"105 E BURNSIDE AV, NY, NY",
105 ESSEX ST,1,0,0,0,1,"105 ESSEX ST, NY, NY",
105 FATHER ZEISER PL,2,0,0,0,2,"105 FATHER ZEISER PL, NY, NY",
105 GRAHAM AV,1,0,0,0,1,"105 GRAHAM AV, NY, NY",
105 KINGSTON AV,1,0,0,0,1,"105 KINGSTON AV, NY, NY",
105 LENOX AV,1,0,0,0,1,"105 LENOX AV, NY, NY",
105 MOORE ST,1,0,0,0,1,"105 MOORE ST, NY, NY",
105 N 6 ST,1,0,0,0,1,"105 N 6 ST, NY, NY",
105 S 3 ST,0,0,2,0,2,"105 S 3 ST, NY, NY",
105 W 105 ST,0,0,1,0,1,"105 W 105 ST, NY, NY",
1050 FLUSHING AV,0,0,1,0,1,"1050 FLUSHING AV, NY, NY",
1050 KINGSTON AV,5,0,0,0,5,"1050 KINGSTON AV, NY, NY",
10501 FARRAGUT RD,0,0,2,0,2,"10501 FARRAGUT RD, NY, NY",
1051 3 AV,1,0,0,0,1,"1051 3 AV, NY, NY",
1051 JACKSON AV,0,2,0,0,2,"1051 JACKSON AV, NY, NY",
1053 JACKSON AV,0,1,0,0,1,"1053 JACKSON AV, NY, NY",
10538 ROCKAWAY BEACH BLVD,2,0,0,0,2,"10538 ROCKAWAY BEACH BLVD, NY, NY",
1055 MADISON AV,0,0,0,1,1,"1055 MADISON AV, NY, NY",
1056 3 AV,1,0,0,0,1,"1056 3 AV, NY, NY",
1057 1 AV,1,0,0,0,1,"1057 1 AV, NY, NY",
