ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS
10451,Bronx,44140.00,28944106.52,1.04,NY,Bronx,36,5
10452,Bronx,76104.00,27550385.85,0.99,NY,Bronx,36,5
10453,Bronx,77576.00,25748509.27,0.92,NY,Bronx,36,5
10454,Bronx,37466.00,31063613.33,1.11,NY,Bronx,36,5
10455,Bronx,39834.00,19846918.84,0.71,NY,Bronx,36,5
10456,Bronx,89390.00,29933452.44,1.07,NY,Bronx,36,5
10457,Bronx,70253.00,37640607.38,1.35,NY,Bronx,36,5
10458,Bronx,79362.00,35968812.90,1.29,NY,Bronx,36,5
10459,Bronx,46804.00,22551940.54,0.81,NY,Bronx,36,5
10460,Bronx,56670.00,35155666.65,1.26,NY,Bronx,36,5
10461,Bronx,50549.00,62824057.57,2.25,NY,Bronx,36,5
10462,Bronx,75674.00,53022513.78,1.90,NY,Bronx,36,5
10463,Bronx,70641.00,39823083.42,1.43,NY,Bronx,36,5
10464,Bronx,4438.00,92357969.30,3.31,NY,Bronx,36,5
10465,Bronx,42012.00,108423743.44,3.89,NY,Bronx,36,5
10466,Bronx,68942.00,55262490.61,1.98,NY,Bronx,36,5
10467,Bronx,97932.00,69336166.37,2.49,NY,Bronx,36,5
10468,Bronx,72877.00,34447604.67,1.24,NY,Bronx,36,5
10469,Bronx,65101.00,68040887.07,2.44,NY,Bronx,36,5
10470,Bronx,14740.00,21543461.58,0.77,NY,Bronx,36,5
10471,Bronx,23477.00,89651407.06,3.22,NY,Bronx,36,5
10472,Bronx,66356.00,30963245.19,1.11,NY,Bronx,36,5
10473,Bronx,58284.00,59522354.54,2.14,NY,Bronx,36,5
10474,Bronx,12281.00,40614090.19,1.46,NY,Bronx,36,5
10475,Bronx,40931.00,38633296.93,1.39,NY,Bronx,36,5
11001,Floral Park,3944.00,9155180.26,0.33,NY,Queens,36,81
11004,Glen Oaks,11776.00,22606526.91,0.81,NY,Queens,36,81
11005,Floral Park,3533.00,9075527.40,0.33,NY,Queens,36,81
11040,New Hyde Park,2349.00,6269333.41,0.22,NY,Queens,36,81
11096,Inwood,147.00,1624420.04,0.06,NY,Queens,36,81
11101,Long Island City,26254.00,78962088.74,2.83,NY,Queens,36,81
11102,Astoria,33944.00,19116258.44,0.69,NY,Queens,36,81
11103,Astoria,38234.00,20222394.63,0.73,NY,Queens,36,81
11104,Sunnyside,27127.00,12084432.12,0.43,NY,Queens,36,81
11105,Astoria,36906.00,48795608.08,1.75,NY,Queens,36,81
11106,Astoria,38665.00,23866112.73,0.86,NY,Queens,36,81
11109,Long Island City,2752.00,581237.15,0.02,NY,Queens,36,81
11201,Brooklyn,53041.00,41094886.77,1.47,NY,Kings,36,47
11203,Brooklyn,78060.00,60644835.46,2.18,NY,Kings,36,47
11204,Brooklyn,77354.00,43555184.61,1.56,NY,Kings,36,47
11205,Brooklyn,41125.00,23270147.95,0.83,NY,Kings,36,47
11206,Brooklyn,83575.00,40700720.97,1.46,NY,Kings,36,47
11207,Brooklyn,93556.00,73966260.54,2.65,NY,Kings,36,47
11208,Brooklyn,94410.00,79303684.26,2.84,NY,Kings,36,47
11209,Brooklyn,69255.00,57842313.96,2.07,NY,Kings,36,47
11210,Brooklyn,67067.00,47887022.99,1.72,NY,Kings,36,47
11211,Brooklyn,60861.00,40470881.67,1.45,NY,Kings,36,47
11212,Brooklyn,83866.00,41972104.07,1.51,NY,Kings,36,47
11213,Brooklyn,62426.00,29631004.44,1.06,NY,Kings,36,47
11214,Brooklyn,89061.00,61096539.39,2.19,NY,Kings,36,47
11215,Brooklyn,63272.00,61922821.75,2.22,NY,Kings,36,47
11216,Brooklyn,53862.00,26478229.26,0.95,NY,Kings,36,47
11217,Brooklyn,36615.00,21648157.80,0.78,NY,Kings,36,47
11218,Brooklyn,72280.00,36868798.99,1.32,NY,Kings,36,47
11219,Brooklyn,92561.00,42002738.47,1.51,NY,Kings,36,47
11220,Brooklyn,97257.00,47453785.79,1.70,NY,Kings,36,47
11221,Brooklyn,80232.00,38580480.43,1.38,NY,Kings,36,47
11222,Brooklyn,36315.00,42825293.24,1.54,NY,Kings,36,47
11223,Brooklyn,79864.00,58702923.47,2.11,NY,Kings,36,47
11224,Brooklyn,49600.00,46701983.75,1.68,NY,Kings,36,47
11225,Brooklyn,56527.00,23698630.12,0.85,NY,Kings,36,47
11226,Brooklyn,106132.00,39408598.28,1.41,NY,Kings,36,47
11228,Brooklyn,43080.00,43893024.73,1.57,NY,Kings,36,47
11229,Brooklyn,79608.00,60119326.14,2.16,NY,Kings,36,47
11230,Brooklyn,80857.00,49926703.39,1.79,NY,Kings,36,47
11231,Brooklyn,33144.00,40081671.18,1.44,NY,Kings,36,47
11232,Brooklyn,29521.00,55879065.15,2.00,NY,Kings,36,47
11233,Brooklyn,66737.00,37871693.68,1.36,NY,Kings,36,47
