Lat,Lon,Name,small,large,circular,mini_hoop,total_rack,", NY, NY"
40.74531,-73.99548,252 7 AV,2,0,1,0,3,"252 7 AV, NY, NY"
40.708713,-73.959162,266 BROADWAY,1,0,1,0,2,"266 BROADWAY, NY, NY"
40.734747,-73.992508,27 E 13 ST,2,2,1,0,5,"27 E 13 ST, NY, NY"
40.723674,-73.992483,273 BOWERY,1,1,3,0,5,"273 BOWERY, NY, NY"
40.682138,-73.99344,285 SMITH ST,1,0,8,0,9,"285 SMITH ST, NY, NY"
40.708485,-73.958497,286 BROADWAY,1,0,1,0,2,"286 BROADWAY, NY, NY"
40.728024,-73.982389,287 E 10 ST,1,0,3,0,4,"287 E 10 ST, NY, NY"
40.713936,-73.961517,291 BEDFORD AV,2,0,2,0,4,"291 BEDFORD AV, NY, NY"
40.708417,-73.9583,294 BROADWAY,1,0,1,0,2,"294 BROADWAY, NY, NY"
40.706159,-73.922405,30 WYCKOFF AV,2,0,1,0,3,"30 WYCKOFF AV, NY, NY"
40.695515,-73.987366,300 JAY ST,1,0,1,0,2,"300 JAY ST, NY, NY"
40.714131,-73.961674,302 BEDFORD AV,1,0,1,0,2,"302 BEDFORD AV, NY, NY"
40.72617,-74.007,304 HUDSON ST,3,0,2,0,5,"304 HUDSON ST, NY, NY"
40.74676,-73.98589,306 5 AV,2,0,1,0,3,"306 5 AV, NY, NY"
40.693073,-73.99086,32 COURT ST,2,0,1,0,3,"32 COURT ST, NY, NY"
40.687907,-73.981659,330 LIVINGSTON ST,2,0,1,0,3,"330 LIVINGSTON ST, NY, NY"
40.78767,-73.94238,333 E 102 ST,2,0,3,0,5,"333 E 102 ST, NY, NY"
40.747987,-73.996802,345 8 AV,2,0,1,0,3,"345 8 AV, NY, NY"
40.690232,-73.98728,350 LIVINGSTON ST,1,1,1,0,3,"350 LIVINGSTON ST, NY, NY"
40.726402,-73.979066,362 E 10 ST,1,0,1,0,2,"362 E 10 ST, NY, NY"
